コード,名称,判定,比率差,アイコン→図式,図式→アイコン,根拠
6217,太陽光発電設備,要確認,95.2,22.8,83.9,
6221,噴火口・噴気口,座標写し,0.6,93.7,83.3,図式の座標を写したので自己参照。目視レビュー済み
6222,温泉・鉱泉,要確認,4.4,73.0,53.3,
6223,陵墓,座標写し,4.7,95.3,100.0,図式の座標を写したので自己参照。目視レビュー済み
6224,古墳,要確認,10.0,93.9,94.4,
6225,城・城跡,要確認,1.3,100.0,47.6,
6226,史跡・名勝・天然記念物,要確認,8.7,25.7,30.1,
6311,田,要確認,5.7,73.1,100.0,
6312,はす田,一致,2.2,87.0,90.7,
6313,畑,要確認,14.9,78.1,100.0,
6314,さとうきび畑,要確認,16.6,75.9,94.9,
6315,パイナップル畑,要確認,0.5,78.0,97.3,
6316,わさび畑,座標写し,1.1,82.9,97.4,図式の座標を写したので自己参照。目視レビュー済み
6317,桑畑,要確認,1.1,78.9,97.5,
6318,茶畑,要確認,14.3,40.2,41.9,
6319,果樹園,一致,0.7,95.6,92.3,
6321,その他の樹木畑,要確認,0.0,97.5,82.8,
6322,牧草地,一致,2.1,100.0,95.1,
6323,芝地,要確認,6.8,77.7,99.7,
6331,広葉樹林,要確認,14.4,79.1,66.7,
6332,針葉樹林,一致,3.2,86.2,100.0,
6333,竹林,要確認,5.8,74.1,89.3,
6334,荒地,一致,4.8,97.1,98.1,
6335,はい松地,要確認,7.9,67.2,91.6,
6336,しの地（笹地）,要確認,5.1,70.4,91.8,
6337,やし科樹林,要確認,19.6,28.2,9.8,
6338,湿地,要確認,81.8,3.2,19.5,
6340,砂れき地（未分類）砂れき地,検証不可,,,,図式が塗りだけで描かれていて基準形状が取れない
7201,土がけ（崩土）,字入り,48.8,16.7,34.8,字形は書体差（図式の書体ではなく Noto Sans JP）
7202,雨裂,図式外,75.0,17.7,13.9,図式に点記号の定義が無く、意匠の根拠は図面の実測
7206,洞口,要確認,29.7,27.0,43.3,
7211,岩がけ,字入り,45.0,23.9,53.9,字形は書体差（図式の書体ではなく Noto Sans JP）
7212,露岩,図式外,86.2,55.0,13.7,図式に点記号の定義が無く、意匠の根拠は図面の実測
7213,散岩,検証不可,,,,図式が塗りだけで描かれていて基準形状が取れない
7301,三角点,一致,2.1,90.2,93.1,
7302,水準点,要確認,1.1,83.7,92.2,
7303,多角点等,一致,4.9,93.1,95.3,
7304,公共基準点（三角点）,要確認,8.4,33.7,21.2,
7305,公共基準点（水準点）,要確認,1.1,83.1,74.7,
7306,公共基準点（多角点等）,要確認,1.7,100.0,83.2,
7308,電子基準点,要確認,8.0,39.8,42.7,
7311,標石を有しない標高点,要確認,92.9,1.4,100.0,
7312,図化機測定による標高点,要確認,92.1,1.4,100.0,
8199,指示点,要確認,0.0,82.0,99.3,
